ID,Type,Name,,Start Date,End Date,Time Zone,Is Closed?,Visible In Portal?,Featured?,Description,Location,Capacity,Created Date
000169,Education Session,The Independent Edge: Game Changing Moves Unlocked,,2026-04-15 15:00:00,2026-04-15 16:00:00,,No,No,No,"In this featured IBG breakout session, industry legend Bob Knakal will share the strategies, systems, and daily disciplines that help independent brokers build real market presence, win more opportunities, and stay competitive against much larger firms. Drawing from decades of brokerage experience and insights from his recent book, Selling Buildings, Bob will focus on the practical moves that drive visibility, credibility, prospecting consistency, and long-term business development. Attendees will leave with actionable ideas for strengthening their market position, sharpening their outreach, and creating a more durable competitive edge in their own business.

Presenter: Bob Knakal, Chairman & CEO, BKREA, New York, NY",,,2026-06-16 14:48:47.930000
000170,Optional Event,2020 Winter Broker Bootcamp,,2020-11-16 00:00:00,2020-11-17 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000171,Chapter Networking,Luncheon,,2018-01-09 11:30:00,2018-01-09 13:00:00,,No,No,No,,Houston Country Club,0,2026-02-11 20:11:10.630000
000172,Chapter Networking,Speaker Series: Landlord's Perspective,,2021-05-06 15:00:00,2021-05-06 16:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000173,Chapter Leadership Council,Chapter Leadership Council Meeting,,2019-04-11 08:00:00,2019-04-11 10:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000174,Chapter Governance,Monthly Meeting,,2017-06-21 00:00:00,2017-06-21 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000175,Optional Event,SIOR Night,,2018-10-25 17:30:00,2018-10-25 20:30:00,,No,No,No,,Jonathan Club,0,2026-02-11 20:11:10.630000
000176,Education Session,Friday General Session: Prologis Speaker Series,,2021-10-15 10:15:00,2021-10-15 11:45:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000177,Chapter Networking,Ryan Program,,2021-03-11 08:00:00,2021-03-11 21:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000178,Chapter Marketing,Chapter Luncheon,,2017-11-14 11:30:00,2017-11-14 13:00:00,,No,No,No,,Houston Country Club,0,2026-02-11 20:11:10.630000
000179,Chapter Networking,East & West Side Breakfast,,2019-02-21 07:30:00,2019-02-21 09:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000180,Board of Directors,SIOR Board of Directors Meeting,,2024-05-09 10:30:00,2024-05-09 12:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000181,Board of Directors,SIOR Board of Directors Meeting,,2021-10-13 08:00:00,2021-10-13 12:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000182,Chapter Networking,Holiday Party,,2016-12-06 17:30:00,2016-12-06 21:00:00,,No,No,No,,Portland White House B&B,0,2026-02-11 20:11:10.630000
000183,Optional Event,2007 Professional Conference - Friday Breakfast,,1900-01-01 00:00:00,1900-01-01 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000184,Networking,Colliers Reception,,2026-04-16 18:00:00,2026-04-16 19:00:00,,No,No,No,,,,2026-06-16 14:48:47.643000
000185,Chapter Networking,Chapter Program Luncheon with AIRE,,2015-05-11 11:30:00,2015-05-11 14:00:00,,No,No,No,,Cafe La Cave,0,2026-02-11 20:11:10.630000
000186,Chapter Marketing,Royal Recruitment Event,,2017-05-31 17:00:00,2017-05-31 20:00:00,,No,No,No,,Kauffman Stadium,0,2026-02-11 20:11:10.630000
000187,Chapter Networking,Philadelphia Phillies,,2021-07-29 13:00:00,2021-07-29 16:00:00,,No,No,No,,Citizens Bank Park,0,2026-02-11 20:11:10.630000
000188,Optional Event,Main Stage Panel: Super Brokers,,2016-10-21 14:45:00,2016-10-21 15:45:00,,No,No,No,,Metropolitan Ballroom / Sheraton New York Times Square Hotel,0,2026-02-11 20:11:10.630000
000189,Chapter Networking,Golf Tournament,,2020-09-14 08:00:00,2020-09-14 17:00:00,,No,No,No,,Eagle's Nest Country Club,0,2026-02-11 20:11:10.630000
000190,Chapter Governance,Chapter Meeting,,2017-02-02 11:30:00,2017-02-02 13:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000191,Chapter Governance,Summer Meeting,,2017-06-14 17:30:00,2017-06-14 21:00:00,,No,No,No,,Duncan Donuts Stadium,0,2026-02-11 20:11:10.630000
000192,Optional Event,Spouse Registration - Regular,,1900-01-01 00:00:00,1900-01-01 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000193,Chapter Governance,Board of Directors Meeting,,2015-09-09 11:30:00,2015-09-09 13:00:00,,No,No,No,,Atlanta REALTORs Center,0,2026-02-11 20:11:10.630000
000194,Conference,2008 SWC,,2008-04-24 00:00:00,2008-04-27 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000195,Chapter Networking,7th & Nic Event,,2017-08-03 00:00:00,2017-08-03 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000196,Networking,Brokerage Firm & Network Receptions,,2023-04-28 18:00:00,2023-04-28 19:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000197,Optional Event,2021 Quarter One Broker Bootcamp - All Topics,,2021-02-22 00:00:00,2021-03-04 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000198,Committee/Member Group Meeting,Past Presidents Committee Meeting,,2024-05-07 08:00:00,2024-05-07 09:15:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000199,Networking,CORFAC Reception,,2025-11-06 18:00:00,2025-11-06 19:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000200,Education Session,Breakout Session: Investment Property Market,,2022-10-21 14:45:00,2022-10-21 15:45:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000201,Optional Event,Legacy Circle Member Group,,2017-10-26 16:15:00,2017-10-26 17:15:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000202,Networking,Registration Open,,2025-11-04 10:30:00,2025-11-04 17:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000203,Chapter Networking,Board of Directors Meeting,,2019-11-14 00:00:00,2019-11-14 00:00:00,,No,No,No,,Atlanta REALTORS Center,0,2026-02-11 20:11:10.630000
000204,Networking,Bank of America Leadership Reception,,2025-05-06 17:30:00,2025-05-06 19:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000205,Optional Event,IL103 - Normal Registration - No Disco,,1900-01-01 00:00:00,1900-01-01 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000206,Committee/Member Group Meeting,Member Coalition Council,,2023-10-13 12:00:00,2023-10-13 13:15:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000207,Chapter Networking,Monthly Lunch,,2019-02-13 00:00:00,2019-02-13 00:00:00,,No,No,No,,Maggiano's @ Fashion Mall,0,2026-02-11 20:11:10.630000
000208,Chapter Networking,Festivus,,2020-02-12 18:00:00,2020-02-12 22:00:00,,No,No,No,,Maiella,0,2026-02-11 20:11:10.630000
000209,SIOR Foundation Meeting,SIOR Foundation Board of Trustees,,2026-04-14 11:00:00,2026-04-14 14:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000210,Chapter Governance,Board of Directors Meeting,,2015-01-22 11:30:00,2015-01-22 13:00:00,,No,No,No,,Atlanta REALTORs Center,0,2026-02-11 20:11:10.630000
000211,Chapter Networking,Golf Tournament,,2021-06-24 11:30:00,2021-06-24 19:00:00,,No,No,No,,Eagle's Nest Country Club,0,2026-02-11 20:11:10.630000
000212,Optional Event,MW00 - Society Staff,,1900-01-01 00:00:00,1900-01-01 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000213,Optional Event,Fun Run/Walk,,1900-01-01 00:00:00,1900-01-01 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000214,Chapter Networking,Golf Tournament,,2016-07-12 00:00:00,2016-07-12 00:00:00,,No,No,No,,Tashua Knolls,0,2026-02-11 20:11:10.630000
000215,Committee/Member Group Meeting,IBG Welcome Reception,,2020-04-29 16:30:00,2020-04-29 17:30:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000216,Board of Directors,Governance Committee,,2023-04-29 08:00:00,2023-04-29 21:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000217,Chapter Networking,Networking & Dinner,,2016-09-08 17:30:00,2016-09-08 20:30:00,,No,No,No,,The Pacific Club,0,2026-02-11 20:11:10.630000
000218,Chapter Governance,Breakfast Meeting,,2018-01-31 07:30:00,2018-01-31 09:00:00,,No,No,No,,Highlawn Pavilion,0,2026-02-11 20:11:10.630000
000219,Optional Event,Tour & Tea at Mar-a-lago,,1900-01-01 00:00:00,1900-01-01 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000220,Chapter Governance,Chapter Meeting,,2017-02-23 17:15:00,2017-02-23 17:35:00,,No,No,No,,10 Barrel Brewing,0,2026-02-11 20:11:10.630000
000221,Chapter Networking,Chapter Luncheon,,2016-08-25 11:30:00,2016-08-25 13:00:00,,No,No,No,,Houston Country Club,0,2026-02-11 20:11:10.630000
000222,Chapter Networking,Golf Tournament,,2019-07-22 10:00:00,2019-07-22 19:00:00,,No,No,No,,Virginia Country Club,0,2026-02-11 20:11:10.630000
000223,Chapter Networking,Holiday Party,,2016-12-02 11:30:00,2016-12-02 14:00:00,,No,No,No,,Glen View Club,0,2026-02-11 20:11:10.630000
000224,Exhibits,Networking Break with Exhibitors,,2019-04-11 14:45:00,2019-04-11 15:45:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000225,Chapter Leadership Council,Chapter Leadership Council (CLC) Meeting,,2022-10-19 13:00:00,2022-10-19 17:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000226,Optional Event,2019 Fall Broker Bootcamp,,2019-09-18 13:00:00,2019-09-18 17:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000227,Optional Event,2020 Fall Broker Bootcamp,,2020-09-23 12:00:00,2020-09-23 17:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000228,Optional Event,Legacy Breakfast,,2018-04-13 08:00:00,2018-04-13 09:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000229,Committee/Member Group Meeting,Admissions & Membership Standards Committee,,2017-04-26 13:00:00,2017-04-26 14:15:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000230,Education Session,Mid-Year Market Review,,2017-06-08 17:00:00,2017-06-08 21:00:00,,No,No,No,,Essex Country Club,0,2026-02-11 20:11:10.630000
000231,Networking,Women's Tea,,2017-04-27 14:30:00,2017-04-27 15:30:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000232,Chapter Networking,March Madness Networking (with IEOC),,2017-03-16 15:30:00,2017-03-16 20:30:00,,No,No,No,,Sharks Cove,0,2026-02-11 20:11:10.630000
000233,Chapter Marketing,Annual Economic Forecast,,2017-11-08 16:00:00,2017-11-08 18:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000234,Chapter Networking,West Regional Conference,,2018-12-10 00:00:00,2018-12-10 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000235,Optional Event,M&S Grill Dine-Around,,1900-01-01 00:00:00,1900-01-01 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000236,Optional Event,2021 Quarter Three Broker Bootcamp,,2021-09-22 00:00:00,2021-09-22 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000237,Conference,FWC 2009 Thursday Only,,2009-10-29 00:00:00,2009-10-29 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000238,Chapter Governance,Chapter Meeting,,2018-12-06 11:30:00,2018-12-06 13:00:00,,No,No,No,,San Antonio Country Club,0,2026-02-11 20:11:10.630000
000239,Leadership,LC 2009 - Board Strategic Planning,,2009-10-28 08:00:00,2009-10-28 12:00:00,,No,No,No,,TBD,0,2026-02-11 20:11:10.630000
000240,Education Session,Opening General Session,,2023-04-27 10:45:00,2023-04-27 12:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000241,Networking,Networking Roundtables,,2021-04-29 12:15:00,2021-04-29 13:15:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000242,Chapter Governance,Breakfast Meeting,,2015-01-21 07:30:00,2015-01-21 09:00:00,,No,No,No,,Mission Hills Country Club,0,2026-02-11 20:11:10.630000
000243,Chapter Marketing,Happy Hour,,2016-03-02 15:30:00,2016-03-02 17:30:00,,No,No,No,,BLVD Kitchen and Bar,0,2026-02-11 20:11:10.630000
000244,Chapter Networking,Chapter Networking,,2020-07-21 16:00:00,2020-07-21 17:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000245,Chapter Networking,Annual Meeting,,2021-07-21 11:00:00,2021-07-21 13:00:00,,No,No,No,,Union League Liberty Hill,0,2026-02-11 20:11:10.630000
000246,Optional Event,SC2000 - Shotgunner Funshoot,,1900-01-01 00:00:00,1900-01-01 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000247,Optional Event,Occidental Dine-Around,,1900-01-01 00:00:00,1900-01-01 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000248,Committee/Member Group Meeting,Communications & Branding Committee,,2018-10-11 10:20:00,2018-10-11 11:20:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000249,Optional Event,Virtual TransACT 360: YP Happy Hour,,2020-05-04 16:00:00,2020-05-04 17:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000250,Chapter Marketing,DT Office Crawl,,2018-10-16 15:00:00,2018-10-16 18:00:00,,No,No,No,,Marquette Plaza,0,2026-02-11 20:11:10.630000
000251,Education Session,Market Forecast with CCIM,,2018-10-02 15:30:00,2018-10-02 18:00:00,,No,No,No,,Columbia Metropolitan Convention Center,0,2026-02-11 20:11:10.630000
000252,Chapter Marketing,Chapter Luncheon,,2016-09-27 11:30:00,2016-09-27 14:00:00,,No,No,No,,Gene & Georgetti,0,2026-02-11 20:11:10.630000
000253,Optional Event,Southwest Pottery,,1900-01-01 00:00:00,1900-01-01 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000254,Networking,IBG Networking Event: Dueling Piano Show & Happy Hour,,2021-04-28 18:30:00,2021-04-28 20:30:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000255,Optional Event,Board of Directors Meeting,,2017-10-25 08:00:00,2017-10-25 17:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000256,Optional Event,IL103 - Conversion,,1900-01-01 00:00:00,1900-01-01 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000257,Networking,IBG Party,,2023-04-28 19:00:00,2023-04-28 21:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000258,Committee/Member Group Meeting,Professional Standards Committee,,2019-04-10 14:00:00,2019-04-10 15:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000259,Education Session,Peak Performance,,2017-01-25 11:30:00,2017-01-25 14:00:00,,No,No,No,,Green Acre Campus Point,0,2026-02-11 20:11:10.630000
000260,Education Session,Chapter Meeting 'Market Update with Dr. Dotzour',,2015-05-13 16:30:00,2015-05-13 18:30:00,,No,No,No,,Preston Commons Board Room,0,2026-02-11 20:11:10.630000
000261,Chapter Marketing,Recruitment Lunch,,2015-09-24 11:30:00,2015-09-24 14:00:00,,No,No,No,,Loma Linda,0,2026-02-11 20:11:10.630000
000262,Chapter Networking,Joint Lunch Event - AIRE/SIOR/CCIM,,2019-05-28 11:30:00,2019-05-28 13:30:00,,No,No,No,,Gene & Georgetti,0,2026-02-11 20:11:10.630000
000263,Chapter Networking,Member/Sponsor Lunch,,2021-03-26 12:00:00,2021-03-26 13:30:00,,No,No,No,,Zina's Cucina,0,2026-02-11 20:11:10.630000
000264,Chapter Networking,West Side Deal Making,,2018-01-31 16:00:00,2018-01-31 18:00:00,,No,No,No,,Founders Brewing,0,2026-02-11 20:11:10.630000
000265,Networking,Office and Tenant Rep Party,,2025-05-07 20:00:00,2025-05-07 22:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000266,Education Session,Secondary & Tertiary Industrial Markets: Coming Into Their Own,,2021-04-28 13:45:00,2021-04-28 14:45:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000267,Education Session,Advanced AI-Driven 3D Rendering & Drone Videography Solutions for the Industrial Sector,,2024-10-17 11:00:00,2024-10-17 12:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000268,Chapter Networking,Chapter Luncheon,,2015-12-10 11:30:00,2015-12-10 13:00:00,,No,No,No,,The Wynden,0,2026-02-11 20:11:10.630000
000269,Chapter Governance,Summer Meeting with HfH Benefit,,2016-06-14 17:00:00,2016-06-14 22:00:00,,No,No,No,,Fairfield Theater,0,2026-02-11 20:11:10.630000
000270,Committee/Member Group Meeting,Governance Committee,,2018-10-13 08:00:00,2018-10-13 09:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000271,Conference,FWC 2009 SPB 3,,2009-10-30 10:40:00,2009-10-30 12:30:00,,No,No,No,,TBD,0,2026-02-11 20:11:10.630000
000272,Committee/Member Group Meeting,SIOR Foundation Executive Committee,,2019-04-09 18:00:00,2019-04-09 20:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000273,Conference,2008 FWC,,2008-10-30 00:00:00,2008-11-02 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000274,Conference,2011 Fall World Conference,,2011-10-20 07:00:00,2011-10-22 17:00:00,,No,No,No,,Hyatt Regency Chicago,0,2026-02-11 20:11:10.630000
000275,Committee/Member Group Meeting,Nominating Committee,,2023-04-25 08:00:00,2023-04-25 17:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000276,Optional Event,Select Leaders,,1900-01-01 00:00:00,1900-01-01 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000277,Conference,2023 Quarter One Next Level Series,,2023-02-22 00:00:00,2023-02-24 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000278,Exhibits,Networking Break with Exhibitors,,2022-04-28 15:00:00,2022-04-28 16:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000279,Chapter Networking,Recruitment Event,,2021-05-06 16:00:00,2021-05-06 18:00:00,,No,No,No,,Codependent Cocktails + Coffee,0,2026-02-11 20:11:10.630000
000280,Committee/Member Group Meeting,Professional Standards Committee,,2023-04-27 14:45:00,2023-04-27 15:45:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000281,Education Session,Tips from the Top (CE),,2020-04-30 13:45:00,2020-04-30 14:45:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000282,Chapter Networking,Chapter Luncheon,,2016-05-10 11:30:00,2016-05-10 13:00:00,,No,No,No,,Houston Country Club,0,2026-02-11 20:11:10.630000
000283,Optional Event,2024 Spring Next Level Series -  Chicago,,2024-06-18 00:00:00,2024-06-19 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000284,Chapter Networking,Virtual Platinum and Gold Sponsor Meeting,,2020-09-16 00:00:00,2020-09-16 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000285,Chapter Governance,Annual Townhall Luncheon West,,2016-04-27 23:30:00,2016-04-27 14:00:00,,No,No,No,,University Club,0,2026-02-11 20:11:10.630000
000286,Networking,Brokerage Owner Group Meet Up,,2026-04-15 19:00:00,2026-04-15 20:00:00,,No,No,No,,,,2026-06-16 14:48:51.837000
000287,Optional Event,2023 Quarter Three Broker Bootcamp - Construction & Development,,2023-09-11 00:00:00,2023-09-11 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000288,Exhibits,Exhibit Hall Open & Lunch,,2019-04-11 11:45:00,2019-04-11 13:15:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000289,Committee/Member Group Meeting,Director of Operations Meeting,,2025-11-05 09:30:00,2025-11-05 10:30:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000290,Education Session,Breakfast & Closing General Session: Economic Update & Market Forecast,,2023-10-14 08:30:00,2023-10-14 10:30:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000291,Committee/Member Group Meeting,Nominating Committee,,2021-10-13 13:00:00,2021-10-13 14:30:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000292,Chapter Governance,2nd Tuesday Meeting,,2016-01-12 11:30:00,2016-01-12 13:00:00,,No,No,No,,President's Office,0,2026-02-11 20:11:10.630000
000293,Conference,2005 Fall Professional Conference,,2005-10-01 00:00:00,2005-10-05 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000294,Optional Event,Water Taxi Tour,,1900-01-01 00:00:00,1900-01-01 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000295,Optional Event,Library & Event Center Tour,,2018-01-24 00:00:00,2018-01-24 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000296,Optional Event,SAREG - Normal Member Registration,,1900-01-01 00:00:00,1900-01-01 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000297,Conference,2009 FWC,,2009-10-29 00:00:00,2009-10-31 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000298,Education Session,Investment Property Market,,2018-10-12 13:45:00,2018-10-12 14:45:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000299,Chapter Networking,Developer Cocktail,,2019-04-18 17:30:00,2019-04-18 19:30:00,,No,No,No,,Tuscan Kitchen,0,2026-02-11 20:11:10.630000
000300,Committee/Member Group Meeting,IBG Member Group Oversight Meeting,,2019-04-10 14:30:00,2019-04-10 15:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
